bash,PID,216,216,216,216,216,216
,USER,root,root,root,root,root,root
,PR,20,20,20,20,20,20
,NI,0,0,0,0,0,0
,VIRT,14948,14948,14948,14948,14948,14948
,RES,3524,3524,3524,3524,3524,3524
,SHR,3084,3084,3084,3084,3084,3084
,S,S,S,S,S,S,S
,%CPU,0.0,0.0,0.0,0.0,0.0,0.0
,%MEM,0.1,0.1,0.1,0.1,0.1,0.1
,TIME+,0:00.03,0:00.03,0:00.03,0:00.03,0:00.03,0:00.03
,COMMAND,bash,bash,bash,bash,bash,bash
vim,PID,231,231,231,231,231,231
,USER,root,root,root,root,root,root
,PR,20,20,20,20,20,20
,NI,0,0,0,0,0,0
,VIRT,37992,37992,37992,37992,37992,37992
,RES,8160,8160,8160,8160,8160,8160
,SHR,5388,5388,5388,5388,5388,5388
,S,S,S,S,S,S,S
,%CPU,0.0,0.0,0.0,0.0,0.0,0.0
,%MEM,0.3,0.3,0.3,0.3,0.3,0.3
,TIME+,0:00.01,0:00.01,0:00.01,0:00.01,0:00.01,0:00.01
,COMMAND,vim,vim,vim,vim,vim,vim
bash,PID,244,244,244,244,244,244
,USER,root,root,root,root,root,root
,PR,20,20,20,20,20,20
,NI,0,0,0,0,0,0
,VIRT,15060,15060,15060,15060,15060,15060
,RES,3716,3716,3716,3716,3716,3716
,SHR,3164,3164,3164,3164,3164,3164
,S,S,S,S,S,S,S
,%CPU,0.0,0.0,0.0,0.0,0.0,0.0
,%MEM,0.1,0.1,0.1,0.1,0.1,0.1
,TIME+,0:00.03,0:00.03,0:00.03,0:00.03,0:00.03,0:00.03
,COMMAND,bash,bash,bash,bash,bash,bash
top_to_csv_pars,PID,291,291,291,291,291,291
,USER,root,root,root,root,root,root
,PR,20,20,20,20,20,20
,NI,0,0,0,0,0,0
,VIRT,37020,37020,37020,37020,37020,37020
,RES,9776,9776,9776,9776,9776,9776
,SHR,5256,5256,5256,5256,5256,5256
,S,S,S,S,S,S,S
,%CPU,0.0,0.0,0.0,0.0,0.0,0.0
,%MEM,0.3,0.3,0.3,0.3,0.3,0.3
,TIME+,0:00.03,0:00.03,0:00.03,0:00.03,0:00.03,0:00.03
,COMMAND,top_to_csv_pars,top_to_csv_pars,top_to_csv_pars,top_to_csv_pars,top_to_csv_pars,top_to_csv_pars
top,PID,293,293,293,293,293,293
,USER,root,root,root,root,root,root
,PR,20,20,20,20,20,20
,NI,0,0,0,0,0,0
,VIRT,51212,51212,51212,51212,51212,51212
,RES,4140,4140,4140,4140,4140,4140
,SHR,3596,3596,3596,3596,3596,3596
,S,R,R,R,R,R,R
,%CPU,0.0,0.0,0.0,0.0,0.0,0.0
,%MEM,0.1,0.1,0.1,0.1,0.1,0.1
,TIME+,0:00.00,0:00.00,0:00.00,0:00.00,0:00.00,0:00.00
,COMMAND,top,top,top,top,top,top
